Feature,Number of datasets,Median auROC,Median log FC,Partition
MCRIP2,4,0.7142714522593545,0.41934140899023503,10
KIAA0930,4,0.7210213927538653,0.4151492832769491,10
OSBPL8,2,0.6776486412705318,0.41121561282848285,10
MFSD12,4,0.6955206993519016,0.40320441057580925,10
DCXR,2,0.6740700682645424,0.39421891435310485,10
PEA15,2,0.6853649905062804,0.38713498485911435,10
HSD3B7,4,0.6855731679954675,0.38278730881011697,10
NTAN1,3,0.6973239788255015,0.3750907962552287,10
ATP6V1A,2,0.69890385396487,0.3635117179366594,10
TOMM40,2,0.6649268316325417,0.3581124069981859,10
FAIM,3,0.6910616365755088,0.35459568963365884,10
ZNF385A,2,0.6712258233549036,0.35270965073815697,10
USF2,2,0.6821023380855167,0.3496550898019948,10
SLC29A1,2,0.674320216329972,0.33337397804244073,10
DNASE2B,2,0.6485529363131812,0.3254633128216128,10
FAM20C,4,0.6939177355517621,0.3230296752439942,10
DNPH1,2,0.672641623085734,0.31685872852790664,10
SLC29A3,2,0.6759400869690269,0.3030605692456182,10
HMG20B,2,0.6553079387063276,0.30037415369552906,10
SLC26A11,2,0.6712628236275837,0.2937529535607085,10
MRAS,3,0.6652727079810593,0.28658259227646254,10
SNCA,2,0.661371089831474,0.2761822176926333,10
BOLA3,2,0.6608207201416509,0.2692599549227016,10
CD1C,9,0.7997309129382557,1.2503866843980265,11
S100B,4,0.7339459591783226,1.2060067483973618,11
FCER1A,9,0.7499978497398185,1.1270344867498454,11
CD1A,5,0.7571238119812498,1.0176781576812746,11
CD1E,7,0.7768439336696228,1.0065788849564816,11
LTB,5,0.698520953616488,0.9602943786581618,11
HLA-DQA2,3,0.7587093970553146,0.9308654897803708,11
PKIB,9,0.817723090252467,0.9181296810464163,11
HLA-DQB2,8,0.7097149609484878,0.91200478597336,11
INSIG1,4,0.7107979134426909,0.8423561637870209,11
GDI2,4,0.7376035325380244,0.8344759173455972,11
CLEC10A,6,0.705878536986727,0.771864597529152,11
FCGR2B,4,0.7555530497160199,0.7601054195226848,11
FCGBP,3,0.6267080116349092,0.7580939852908007,11
CD207,4,0.6593147537033375,0.730371773520571,11
JAML,7,0.7209953455360957,0.6895842173925293,11
YWHAH,5,0.6952117282612573,0.6836295730164882,11
CKLF,5,0.6893394093348227,0.6181533051141349,11
NDRG2,8,0.7267367771255292,0.6161575237664229,11
AXL,5,0.6807362700729104,0.5892165012171227,11
PAK1,7,0.7157029488007337,0.5760453307073788,11
IL18,7,0.6596204928435684,0.5314006928119048,11
PLD4,4,0.6869905762796991,0.5261146032131532,11
ENTPD1,7,0.7246160510848874,0.49345476587741655,11
SLC38A1,4,0.6707681232245174,0.4425988598843483,11
RUNX3,4,0.6651134181654916,0.4384970181426764,11
OGFRL1,4,0.6122988320940257,0.4160551331061605,11
CLDN1,3,0.6401822199191558,0.41367578474001987,11
GPAT3,5,0.6657301101565364,0.38828763572584574,11
