Gene,CGP
HLA-DOB,5
HLA-DPA1,5
HLA-DPB1,5
HLA-DQA1,5
HLA-DQA2,5
HLA-DQB1,5
HLA-DQB2,5
IL18R1,5
IRF4,5
ITM2C,5
LINC01480,5
LTC4S,5
MCOLN2,5
MEF2C,5
MEIKIN,5
NDRG2,5
NFATC2,5
NRARP,5
P2RY14,5
P3H2,5
PADI2,5
PALD1,5
PKIB,5
PLD4,5
PLEK2,5
PON2,5
PPP1R14A,5
PPP1R16A,5
PTGS1,5
RAB33A,5
RAMP1,5
RGS1,5
RUNX3,5
S100B,5
SATB1,5
SEMA4C,5
SH3BP4,5
SLC38A1,5
SUSD3,5
SYTL3,5
TLR10,5
TMEM156,5
TOX,5
USP53,5
WNT5A,5
ARHGAP11A,6
ARHGAP11B,6
ARHGEF39,6
ATAD2,6
AURKA,6
BIRC5,6
BRCA1,6
BUB1,6
CCDC34,6
CCNB1,6
CCNB2,6
CCNF,6
CDCA8,6
CDK1,6
CDKN2A,6
CDKN2C,6
CDKN3,6
CENPA,6
CENPE,6
CENPF,6
CENPH,6
CENPN,6
CENPU,6
CENPW,6
CEP55,6
CIT,6
CKAP2,6
CKS1B,6
CKS2,6
CLSPN,6
CRNDE,6
CTSV,6
DHFR,6
DLGAP5,6
DTYMK,6
EZH2,6
FANCI,6
FBXO5,6
GGH,6
GPSM2,6
H2AFX,6
HIST1H4C,6
HMGB3,6
HMMR,6
KIAA0101,6
KIAA1524,6
KIF11,6
KIF14,6
KIF18A,6
KIF20B,6
KIF23,6
KIF2C,6
KIFC1,6
KNSTRN,6
KPNA2,6
MAD2L1,6
MKI67,6
MXD3,6
NCAPD2,6
NCAPG,6
NCAPG2,6
NUSAP1,6
OIP5,6
PHF19,6
PHGDH,6
POC1A,6
PRC1,6
PRR11,6
PSRC1,6
PTTG1,6
RACGAP1,6
RAD51AP1,6
RPL39L,6
SAC3D1,6
SHCBP1,6
SKA2,6
SMC2,6
SMC4,6
SPAG5,6
SPDL1,6
STIL,6
STMN1,6
TK1,6
TMEM106C,6
TMEM71,6
TOP2A,6
TPX2,6
TRIP13,6
TROAP,6
TYMS,6
UBE2C,6
UBE2S,6
UBE2T,6
WEE1,6
ABI3,7
ADA,7
ADGRE1,7
ADGRE2,7
AOAH,7
APOBEC3A,7
ARHGAP29,7
C10orf54,7
C11orf21,7
C19orf38,7
CAMK1,7
CASP5,7
CCDC151,7
CCDC88C,7
CD300A,7
CD48,7
CD79B,7
CDC42EP2,7
CDH23,7
CDKN1C,7
CFP,7
CHST15,7
CHST2,7
CHST7,7
CKB,7
CORO1A,7
CX3CR1,7
CYFIP2,7
CYTIP,7
FAM110A,7
FAM65B,7
FCGR3A,7
FCGR3B,7
FCN1,7
FFAR2,7
GCH1,7
GIMAP1,7
GIMAP2,7
GIMAP7,7
GIMAP8,7
GNG2,7
GPBAR1,7
HEG1,7
HES1,7
HES4,7
ICAM2,7
ICAM4,7
IFITM1,7
IFITM2,7
IFITM3,7
ITGA4,7
ITGAL,7
LILRA1,7
LILRA2,7
LILRA5,7
LILRB1,7
LILRB2,7
LIMD2,7
LINC00877,7
LRRC25,7
MTMR11,7
MTSS1,7
NEURL1,7
PAG1,7
PLAC8,7
POU2F2,7
PPM1N,7
PTP4A3,7
RGS18,7
RHOC,7
S100Z,7
SCLT1,7
SIGLEC10,7
SLC16A7,7
SLC24A4,7
SLC2A6,7
SLC44A2,7
SMPDL3A,7
SYTL1,7
TCF7L2,7
TESC,7
TNFRSF8,7
TPPP3,7
TRAF3IP3,7
TSPAN32,7
UTRN,7
VAMP5,7
VNN1,7
ZBTB16,7
ZG16B,7
ZNF703,7
ACOT2,8
ACP5,8
ALDH2,8
ALG14,8
ALOX5AP,8
ANXA2,8
APOE,8
AQP3,8
C1GALT1C1,8
C1QA,8
C1QB,8
C1QC,8
C2,8
CD9,8
CEACAM21,8
CES1,8
CTSA,8
CTSC,8
DECR1,8
DNASE2,8
ECH1,8
EDEM2,8
FBP1,8
FOLR3,8
FUCA1,8
GLB1,8
GRN,8
GUSB,8
HEXA,8
HEXB,8
HLA-C,8
HLA-DQB1,8
HLA-DRA,8
HLA-DRB1,8
HLA-DRB5,8
HP,8
LAMP1,8
LAMP2,8
LDHD,8
LGALS3BP,8
LRPAP1,8
LTA4H,8
MARCO,8
MCEMP1,8
MDH1,8
MGST3,8
NIT2,8
NUCB1,8
PLBD1,8
POR,8
PRDX1,8
PROCR,8
RETN,8
SERPINA1,8
SERPINI1,8
SLC27A3,8
TAPBPL,8
TECR,8
TREM2,8
UROD,8
VSIG4,8
YARS2,8
AIM2,9
ANKRD22,9
APOL6,9
BATF2,9
CCL8,9
CD38,9
CMPK2,9
CXCL10,9
CXCL9,9
DDX58,9
DDX60L,9
DEFB1,9
EIF2AK2,9
EPSTI1,9
ETV7,9
FBXO6,9
GBP1,9
GBP4,9
GBP5,9
GCH1,9
GMPR,9
HAPLN3,9
HELZ2,9
HERC5,9
IFI35,9
IFI44,9
IFI44L,9
IFI6,9
IFIH1,9
IFIT1,9
IFIT2,9
IFIT3,9
IFITM1,9
IFITM3,9
IL15RA,9
IL27,9
IL4I1,9
IRF7,9
ISG15,9
ISG20,9
LAP3,9
LY6E,9
MX1,9
MX2,9
NEXN,9
NT5C3A,9
OAS1,9
OAS2,9
OAS3,9
OASL,9
PARP9,9
RABGAP1L,9
RARRES3,9
RSAD2,9
SAMD9,9
SAMD9L,9
SIGLEC1,9
SP110,9
STAT1,9
TNFSF10,9
UBE2L6,9
USP18,9
VAMP5,9
XAF1,9
ZBP1,9
